epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2981.52,0.81955,0.73542,1.11353,0.7831,0.72235,0.78205,0.53508,1.1323,0.90851,1.24494,0.000455875,0.000455875,0.000455875
43,3053.09,0.81372,0.7252,1.11696,0.78626,0.76708,0.79212,0.53711,1.15173,0.86068,1.26386,0.00045175,0.00045175,0.00045175
44,3124.67,0.8053,0.71213,1.10879,0.79817,0.76835,0.80502,0.54767,1.14757,0.85511,1.26662,0.000447625,0.000447625,0.000447625
45,3194.84,0.80857,0.71658,1.10864,0.75799,0.74199,0.7826,0.53272,1.13841,0.88469,1.26487,0.0004435,0.0004435,0.0004435
46,3267.29,0.8044,0.72057,1.11115,0.80535,0.73075,0.77612,0.5343,1.13907,0.8479,1.2535,0.000439375,0.000439375,0.000439375
47,3338.4,0.80373,0.70317,1.10758,0.78777,0.75212,0.78199,0.53577,1.13167,0.86669,1.25594,0.00043525,0.00043525,0.00043525
48,3410.75,0.78664,0.69315,1.09882,0.75512,0.77614,0.76867,0.52457,1.14506,0.83689,1.2656,0.000431125,0.000431125,0.000431125
49,3482.94,0.79373,0.70643,1.10391,0.74568,0.76619,0.78201,0.5351,1.17821,0.9068,1.27617,0.000427,0.000427,0.000427
50,3555.69,0.80056,0.69983,1.09931,0.80402,0.75163,0.78704,0.53273,1.13604,0.83702,1.2598,0.000422875,0.000422875,0.000422875
51,3628.85,0.78243,0.68248,1.10159,0.79608,0.75933,0.7915,0.54571,1.13221,0.80586,1.24393,0.00041875,0.00041875,0.00041875
52,3701.04,0.77981,0.68173,1.10009,0.81487,0.75405,0.79634,0.54455,1.13767,0.81172,1.23654,0.000414625,0.000414625,0.000414625
53,3771.11,0.77883,0.67745,1.09592,0.81444,0.74343,0.78161,0.53498,1.13441,0.86295,1.25501,0.0004105,0.0004105,0.0004105
54,3843.01,0.77475,0.67383,1.09271,0.78148,0.76518,0.78432,0.53976,1.15207,0.81396,1.26398,0.000406375,0.000406375,0.000406375
55,3915.26,0.77678,0.67727,1.09604,0.84292,0.71975,0.77849,0.52602,1.16388,0.84552,1.27381,0.00040225,0.00040225,0.00040225
56,3985.64,0.77974,0.66843,1.09305,0.78323,0.76606,0.79243,0.55273,1.13786,0.81456,1.25324,0.000398125,0.000398125,0.000398125
57,4058.04,0.76632,0.67023,1.09062,0.81051,0.73095,0.80052,0.54935,1.11123,0.82065,1.25598,0.000394,0.000394,0.000394
58,4130.24,0.77691,0.67214,1.09464,0.81302,0.75287,0.80385,0.55903,1.12291,0.79216,1.25291,0.000389875,0.000389875,0.000389875
59,4203.5,0.77335,0.65961,1.08763,0.80869,0.75794,0.8068,0.55874,1.10929,0.80928,1.23747,0.00038575,0.00038575,0.00038575
60,4275.95,0.76207,0.65386,1.08805,0.81239,0.76292,0.80637,0.54635,1.15149,0.81521,1.27051,0.000381625,0.000381625,0.000381625
61,4347.88,0.75836,0.65964,1.08238,0.80793,0.74446,0.78878,0.55026,1.11476,0.83184,1.2391,0.0003775,0.0003775,0.0003775
62,4421.1,0.76316,0.64996,1.0809,0.81501,0.73886,0.7953,0.5502,1.12995,0.85566,1.25315,0.000373375,0.000373375,0.000373375
63,4494.05,0.75813,0.63979,1.08062,0.80322,0.75585,0.80441,0.55331,1.13589,0.82238,1.25407,0.00036925,0.00036925,0.00036925
64,4565.12,0.75466,0.64661,1.08588,0.84047,0.72662,0.79899,0.55193,1.13123,0.81336,1.244,0.000365125,0.000365125,0.000365125
65,4636.76,0.76009,0.64767,1.08132,0.80614,0.7447,0.80321,0.55316,1.11027,0.83465,1.24225,0.000361,0.000361,0.000361
66,4709.04,0.75141,0.63628,1.08073,0.80244,0.77083,0.80239,0.54803,1.12517,0.8058,1.25105,0.000356875,0.000356875,0.000356875
67,4781.49,0.74834,0.62509,1.07852,0.82363,0.75719,0.8092,0.55525,1.12952,0.78099,1.24653,0.00035275,0.00035275,0.00035275
68,4851.48,0.73963,0.62144,1.07307,0.82041,0.75894,0.80359,0.55355,1.12976,0.8089,1.25548,0.000348625,0.000348625,0.000348625
